China,1355692576
India,1236344631
European Union,511434812
United States,318892103
Indonesia,253609643
Brazil,202656788
Pakistan,196174380
Nigeria,177155754
Bangladesh,166280712
Russia,142470272
Japan,127103388
Mexico,120286655
Philippines,107668231
Ethiopia,96633458
Vietnam,93421835
Egypt,86895099
Turkey,81619392
Germany,80996685
Iran,80840713
Democratic Republic of the Congo,77433744
Thailand,67741401
France,66259012
United Kingdom,63742977
Italy,61680122
Burma,55746253
Tanzania,49639138
South Korea,49039986
South Africa,48375645
Spain,47737941
Colombia,46245297
